dataset,target,model,test_accuracy,test_balanced_acc,test_f1_macro,test_f1_weighted,test_roc_auc_macro,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_balanced_acc_mean,fit_time_sec,best_params
stage1_super_pop,stage1_super_pop,LogisticRegression,0.9741,0.9676,0.9685,0.974,0.9976,0.9491,0.007,0.9373,0.9358,4.21,"{'clf__C': np.float64(0.21618942406574443), 'clf__max_iter': 2000, 'clf__solver': 'saga'}"
stage1_super_pop,stage1_super_pop,GradientBoosting,0.9681,0.9611,0.9615,0.9679,0.997,0.9486,0.0058,0.9366,0.935,62.75,"{'learning_rate': np.float64(0.020731503556707363), 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 441, 'subsample': np.float64(0.8156249507619748)}"
stage1_super_pop,stage1_super_pop,LightGBM,0.9681,0.9594,0.9609,0.9677,0.9962,0.9451,0.0061,0.9322,0.9308,278.27,"{'colsample_bytree': np.float64(0.7433862914177091), 'learning_rate': np.float64(0.027371751200935983), 'max_depth': -1, 'min_child_samples': 12, 'n_estimators': 467, 'num_leaves': 53, 'reg_alpha': np.float64(0.002407911195464457), 'reg_lambda': np.float64(0.030427972059571335), 'subsample': np.float64(0.9006523757990821)}"
stage1_super_pop,stage1_super_pop,XGBoost,0.9661,0.9583,0.9591,0.9658,0.9969,0.9461,0.0064,0.9339,0.9326,14.38,"{'colsample_bytree': np.float64(0.6479461469334731), 'learning_rate': np.float64(0.04989950617264592), 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 359, 'reg_alpha': np.float64(0.1188946976953047), 'reg_lambda': np.float64(0.648747706605868), 'subsample': np.float64(0.8090888807137881)}"
stage1_super_pop,stage1_super_pop,RandomForest,0.9621,0.9485,0.9519,0.9608,0.9965,0.9446,0.0073,0.9296,0.9268,16.54,"{'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 249}"
stage1_super_pop,stage1_super_pop,CatBoost,0.9621,0.9516,0.9535,0.9614,0.9971,0.9506,0.0066,0.9388,0.9368,48.0,"{'bagging_temperature': np.float64(0.15599452033620265), 'border_count': 106, 'depth': 6, 'iterations': 287, 'l2_leaf_reg': np.float64(2.717470967305829), 'learning_rate': np.float64(0.029447905545150106)}"
stage1_super_pop,stage1_super_pop,NGBoost,0.9361,0.9248,0.9237,0.9363,N/A,0.9116,0.0085,0.8945,0.8945,121.41,"{'learning_rate': np.float64(0.0923915031962725), 'n_estimators': 541}"
stage2_EAS_pop,stage2_EAS_pop,LogisticRegression,0.7723,0.773,0.7645,0.7671,0.9376,0.7295,0.0184,0.7274,0.7279,1.22,"{'clf__C': np.float64(0.017073967431528128), 'clf__max_iter': 2000, 'clf__solver': 'saga'}"
stage2_EAS_pop,stage2_EAS_pop,CatBoost,0.7525,0.754,0.7439,0.746,0.9335,0.7319,0.0224,0.7292,0.7303,141.33,"{'bagging_temperature': np.float64(0.770967179954561), 'border_count': 58, 'depth': 4, 'iterations': 406, 'l2_leaf_reg': np.float64(3.5995125264172305), 'learning_rate': np.float64(0.02142521597283019)}"
stage2_EAS_pop,stage2_EAS_pop,GradientBoosting,0.7426,0.7429,0.7356,0.7379,0.9257,0.6947,0.0239,0.6928,0.6928,35.34,"{'learning_rate': np.float64(0.020731503556707363), 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 441, 'subsample': np.float64(0.8156249507619748)}"
stage2_EAS_pop,stage2_EAS_pop,RandomForest,0.7228,0.7222,0.7139,0.7169,0.9316,0.722,0.0255,0.7205,0.721,11.43,"{'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 252}"
stage2_EAS_pop,stage2_EAS_pop,XGBoost,0.6931,0.6932,0.6846,0.6875,0.9211,0.7095,0.0271,0.7056,0.7095,11.16,"{'colsample_bytree': np.float64(0.7836995567863468), 'learning_rate': np.float64(0.049374393769437024), 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 508, 'reg_alpha': np.float64(7.579479953348009), 'reg_lambda': np.float64(2.1368329072358767), 'subsample': np.float64(0.7637017332034828)}"
stage2_EAS_pop,stage2_EAS_pop,LightGBM,0.6832,0.6821,0.6779,0.681,0.9181,0.7071,0.0292,0.7049,0.7043,138.07,"{'colsample_bytree': np.float64(0.8347004662655393), 'learning_rate': np.float64(0.27306015052409605), 'max_depth': 10, 'min_child_samples': 17, 'n_estimators': 240, 'num_leaves': 48, 'reg_alpha': np.float64(1.6172900811143154), 'reg_lambda': np.float64(0.0019870215385428634), 'subsample': np.float64(0.9960660809801551)}"
stage2_EAS_pop,stage2_EAS_pop,NGBoost,0.5644,0.5675,0.5516,0.5505,N/A,0.5955,0.0362,0.5859,0.592,37.57,"{'learning_rate': np.float64(0.04144589378013024), 'n_estimators': 321}"
