sample,pop,super_pop
HG00403,CHS,EAS
HG00404,CHS,EAS
HG00406,CHS,EAS
HG00407,CHS,EAS
HG00409,CHS,EAS
HG00410,CHS,EAS
HG00419,CHS,EAS
HG00421,CHS,EAS
HG00422,CHS,EAS
HG00428,CHS,EAS
HG00436,CHS,EAS
HG00437,CHS,EAS
HG00442,CHS,EAS
HG00443,CHS,EAS
HG00445,CHS,EAS
HG00446,CHS,EAS
HG00448,CHS,EAS
HG00449,CHS,EAS
HG00451,CHS,EAS
HG00452,CHS,EAS
HG00457,CHS,EAS
HG00458,CHS,EAS
HG00463,CHS,EAS
HG00464,CHS,EAS
HG00472,CHS,EAS
HG00473,CHS,EAS
HG00475,CHS,EAS
HG00476,CHS,EAS
HG00478,CHS,EAS
HG00479,CHS,EAS
HG00500,CHS,EAS
HG00513,CHS,EAS
HG00524,CHS,EAS
HG00525,CHS,EAS
HG00530,CHS,EAS
HG00531,CHS,EAS
HG00533,CHS,EAS
HG00534,CHS,EAS
HG00536,CHS,EAS
HG00537,CHS,EAS
HG00542,CHS,EAS
HG00543,CHS,EAS
HG00556,CHS,EAS
HG00557,CHS,EAS
HG00559,CHS,EAS
HG00560,CHS,EAS
HG00565,CHS,EAS
HG00566,CHS,EAS
HG00580,CHS,EAS
HG00581,CHS,EAS
HG00583,CHS,EAS
HG00584,CHS,EAS
HG00589,CHS,EAS
HG00590,CHS,EAS
HG00592,CHS,EAS
HG00593,CHS,EAS
HG00595,CHS,EAS
HG00596,CHS,EAS
HG00598,CHS,EAS
HG00599,CHS,EAS
HG00607,CHS,EAS
HG00608,CHS,EAS
HG00610,CHS,EAS
HG00611,CHS,EAS
HG00613,CHS,EAS
HG00614,CHS,EAS
HG00619,CHS,EAS
HG00620,CHS,EAS
HG00622,CHS,EAS
HG00623,CHS,EAS
HG00625,CHS,EAS
HG00626,CHS,EAS
HG00628,CHS,EAS
HG00629,CHS,EAS
HG00631,CHS,EAS
HG00632,CHS,EAS
HG00634,CHS,EAS
HG00650,CHS,EAS
HG00651,CHS,EAS
